distribution,fileSizeBytes,round,sha256,encryptMs,decryptMs,success
deterministic-random,1048576,1,510f4ee0edff75072988d3b36825655c3f1db9d7d72638fc0d083257f3ac5d00,2.9171,1.5394,true
deterministic-random,1048576,2,356266568e9358e13df2fe90c5b951863a2d1ab362b3858e444e1dd634398c99,2.1437,1.4947,true
deterministic-random,1048576,3,f91243f912930212dcd57b3271da527491420d2dadc3872fffa05da01c21d2de,2.1312,1.7991,true
deterministic-random,1048576,4,e6f5808d7e79c4b3a105ba9d6ceb07f78f07b2ca593b15f3d22fad4bb86068ad,2.1238,1.5473,true
deterministic-random,1048576,5,9d5edd246c7f7c976f18ae3bc930947db3038c3f2f217046df832f4fa8b7d0f7,2.2027,1.5109,true
deterministic-random,1048576,6,0b594c5808ef758b3c94f274fd1a55c31d43933ff334e5bb22544b3ee65c5ddc,2.2998,1.6902,true
deterministic-random,1048576,7,76725d155e58c319d86a8d5b98c7057e27a63a2c994c1fcce2872e4792e4e62c,2.3412,1.5742,true
deterministic-random,1048576,8,d8cc6ba9f5e148b3d832891f813251f1277fd5ae325aec71cbc70f445900fd5a,2.2715,1.7137,true
deterministic-random,1048576,9,c49e29ffec9c1c9c0d5c00f2f0116767a73f7823457806d4d0a7af32c8953b72,2.5057,1.5557,true
deterministic-random,1048576,10,059404ac86550129f35a1f837ca18e438d8f7d7178df2418dd4fd962883f74ac,2.3831,1.6661,true
deterministic-random,1048576,11,2cf201c19a823bc82225b3578fe025bf8c5ca699566c8f6775cbbc45d4077bd7,2.2392,1.6227,true
deterministic-random,1048576,12,1de7a79d33b847c5f34595f5c0cb68b011a05b18e0b1f63a84f8039db8c2ad3d,2.6044,2.0434,true
deterministic-random,1048576,13,3bfe30032a086803710248eaa0abe8ee292ddea15869dfad8b9a187eea9e5f82,0.8352,0.2735,true
deterministic-random,1048576,14,d6ae0994568af31a5bb12e8c27f1943275ba5c2514d272d01a81e36ff290b5f1,0.6926,0.2727,true
deterministic-random,1048576,15,555372f808556272ba6d8fc5cc1020419fc9e8ce13b19d645a323f1d1b8d92fe,0.6953,0.2783,true
deterministic-random,1048576,16,68fe711ba48c23c9bf58724f65d3dd5c1dc5a2cc778832dd3128f869d731d9b3,0.6927,0.2656,true
deterministic-random,1048576,17,35b8a7a787cb34d52f408095a768861d16ada9036d4c868b56f6c021efca8869,0.7934,0.3219,true
deterministic-random,1048576,18,7c98e2ff990897387a7d7b4304147d9476a275fa8e30252df439e416ae1fb513,0.7021,0.3179,true
deterministic-random,1048576,19,423217d9feb7cd4f620ee16d00b04547d9497e1cf84467bac19526030d699f0e,0.6161,0.2902,true
deterministic-random,1048576,20,31620e4f63b2571ea9795308b636016e75c9ad2e9516c2fbc7be59f36a730b3a,0.5977,0.2819,true
deterministic-random,1048576,21,8323421daa519e44216b132d159a32308c07da93ffdd26d328c462173c4b31f7,0.7892,0.3056,true
deterministic-random,1048576,22,90dfa953d1be0eec35f0c728d8ea6c413775a8b0c659a51f164af7f1d4a23bfa,0.5926,0.2713,true
deterministic-random,1048576,23,6d2bf60c4f825a63f6cebb13abc18c6bb9ebefa9b4acd1990261f34e41df3101,0.8345,0.2667,true
