fileSizeBytes,round,chunkBytes,chunks,encryptMs,decryptVerifyMs,observedHeapPeakDeltaBytes,observedHeapPeakPercent,configuredPlaintextBufferBytes,merkleVerified,success
104857600,14,131072,800,391.5936,148.7596,3090808,2.9476,131072,true,true
104857600,15,131072,800,408.8588,157.8238,1786480,1.7037,131072,true,true
104857600,16,131072,800,437.2501,145.5575,2265296,2.1604,131072,true,true
104857600,17,131072,800,439.7452,156.5410,4582848,4.3705,131072,true,true
104857600,18,131072,800,442.3981,150.0119,1205376,1.1495,131072,true,true
104857600,19,131072,800,468.8404,151.9434,2751136,2.6237,131072,true,true
104857600,20,131072,800,431.5466,148.5778,1160032,1.1063,131072,true,true
104857600,21,131072,800,416.6990,166.3884,3153144,3.0071,131072,true,true
104857600,22,131072,800,429.0527,151.4833,3271288,3.1197,131072,true,true
104857600,23,131072,800,450.0293,170.7530,4113856,3.9233,131072,true,true
104857600,24,131072,800,482.3980,194.9567,1994280,1.9019,131072,true,true
104857600,25,131072,800,472.6610,183.8221,1291000,1.2312,131072,true,true
104857600,26,131072,800,461.2261,163.0004,3221920,3.0727,131072,true,true
104857600,27,131072,800,480.7362,185.1193,2115792,2.0178,131072,true,true
104857600,28,131072,800,475.6662,168.7597,2657584,2.5345,131072,true,true
104857600,29,131072,800,469.2689,171.3377,591240,0.5639,131072,true,true
104857600,30,131072,800,472.5265,198.5591,2990144,2.8516,131072,true,true
